Gene stable ID	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSMUSG00000028475	Spaar	43730034	43759462	4
ENSMUSG00000048356	Olfr1496	13755242	13760284	19
ENSMUSG00000042185	Nfrkb	31297488	31332629	9
ENSMUSG00000044040	Olfr1497	13771688	13775566	19
ENSMUSG00000083417	Olfr269-ps1	43767476	43767777	4
ENSMUSG00000022586	Ly6i	74851383	74855279	15
ENSMUSG00000109530	Olfr1498-ps1	13781792	13783621	19
ENSMUSG00000044801	Olfr159	43770050	43771009	4
ENSMUSG00000085391	Gm16150	38274501	38285747	1
ENSMUSG00000045395	Olfr1499	13791639	13796811	19
ENSMUSG00000111338	Olfr29-ps1	43781366	43782328	4
ENSMUSG00000085280	Gm16151	38346983	38351011	1
ENSMUSG00000081329	Gm12492	43798896	43800255	4
ENSMUSG00000054526	Olfr1500	13804246	13807852	19
ENSMUSG00000087131	Gm16152	38424030	38433055	1
ENSMUSG00000110970	Olfr156	43820132	43823895	4
ENSMUSG00000031591	Asah1	41793234	41827810	8
ENSMUSG00000021538	Il9	56627090	56630059	13
ENSMUSG00000098236	Gm7734	32619676	32620686	14
ENSMUSG00000101132	Gm8000	74858440	74860309	15
ENSMUSG00000111611	Olfr157	43830542	43840201	4
ENSMUSG00000051506	Wdfy4	32681504	32907465	14
ENSMUSG00000102984	Gm34727	38526600	38527128	1
ENSMUSG00000057270	Olfr1501	13812397	13828056	19
ENSMUSG00000102541	Gm38135	38761701	38762202	1
ENSMUSG00000106737	Gm42962	38894032	38961259	6
ENSMUSG00000103531	2610300A13Rik	38806265	38806767	1
ENSMUSG00000103457	Gm37042	74860599	74861179	15
ENSMUSG00000048814	Lonrf2	38832726	38875792	1
ENSMUSG00000075602	Ly6a	74866726	74869880	15
ENSMUSG00000071000	Olfr155	43851565	43857595	4
ENSMUSG00000064387	Snora73a	132080086	132080290	4
ENSMUSG00000056858	Olfr1502	13839159	13840109	19
ENSMUSG00000100121	1700025N23Rik	39040812	39044532	6
ENSMUSG00000035509	Fbxl21	56670285	56685711	13
ENSMUSG00000058078	Olfr1503-ps1	13854815	13855617	19
ENSMUSG00000040824	Snrpd2	18883647	18887467	7
ENSMUSG00000038507	Parp12	39063344	39095283	6
ENSMUSG00000028476	Reck	43875530	43944806	4
ENSMUSG00000059105	Olfr1504	13864284	13875292	19
ENSMUSG00000117741	1700080C20Rik	25979176	25979496	17
ENSMUSG00000002015	Bcap31	72729784	72759781	X
ENSMUSG00000002280	Ciao3	25992750	26002306	17
ENSMUSG00000097275	Gm26648	24901900	24909688	5
ENSMUSG00000062314	Olfr1505	13890894	13899230	19
ENSMUSG00000083761	Pgam1-ps1	21633308	21634056	11
ENSMUSG00000055235	Wdr86	24916736	24935725	5
ENSMUSG00000084004	Gm12047	21827007	21827950	11
ENSMUSG00000082874	Rpl15-ps1	21903140	21903703	11
ENSMUSG00000005917	Otx1	21944764	21952897	11
ENSMUSG00000098074	Gm26993	13994947	13995735	19
ENSMUSG00000024642	Tle4	14425514	14575415	19
ENSMUSG00000030406	Gipr	18889986	18900052	7
ENSMUSG00000064595	Gm22300	56913642	56913767	4
ENSMUSG00000116875	Morf4l1-ps1	24348144	24349112	16
ENSMUSG00000100287	Gm28068	74879152	74896259	15
ENSMUSG00000065494	Mir28a	24646605	24646690	16
ENSMUSG00000077716	Gm25725	140966408	140966537	7
ENSMUSG00000101082	Gm28069	74897143	74897356	15
ENSMUSG00000096960	A230028O05Rik	24878389	24887808	16
ENSMUSG00000048399	Tprg	25105567	25241094	16
ENSMUSG00000079018	Ly6c1	74915867	74920679	15
ENSMUSG00000050875	Minar2	59195320	59210034	18
ENSMUSG00000026080	Chst10	38902948	38937242	1
ENSMUSG00000021539	Lect2	56690277	56696315	13
ENSMUSG00000038135	Crygn	24956001	24963006	5
ENSMUSG00000073144	4930599N23Rik	39095407	39125246	6
ENSMUSG00000106976	Gm42963	39102099	39103315	6
ENSMUSG00000116828	Gm18896	25260603	25262023	16
ENSMUSG00000031378	Abcd1	72760203	72782140	X
ENSMUSG00000042599	Kdm7a	39113557	39183723	6
ENSMUSG00000022510	Trp63	25502513	25710852	16
ENSMUSG00000114604	2010203P06Rik	56743350	56744455	13
ENSMUSG00000042302	Ehbp1	21955828	22292292	11
ENSMUSG00000028945	Rheb	25007821	25047622	5
ENSMUSG00000035493	Tgfbi	56757336	56787375	13
ENSMUSG00000094487	Gm21958	54620597	54621774	3
ENSMUSG00000093563	Gm20630	51995415	51995965	10
ENSMUSG00000027752	Exosc8	54636099	54642814	3
ENSMUSG00000093427	Gm18513	52065344	52065903	10
ENSMUSG00000019891	Dcbld1	52109715	52197474	10
ENSMUSG00000099775	Gm5960	74942961	74946487	15
ENSMUSG00000099452	Gm28502	74948059	74950943	15
ENSMUSG00000040811	Eml2	18910346	18940407	7
ENSMUSG00000022584	Ly6c2	74980007	74983819	15
ENSMUSG00000058152	Chsy3	59308473	59669071	18
ENSMUSG00000031385	Plxnb3	72800696	72816120	X
ENSMUSG00000041737	Tmem45b	31337492	31375758	9
ENSMUSG00000098287	Mir6355	59712702	59712807	18
ENSMUSG00000065752	Gm23344	64082330	64082397	9
ENSMUSG00000102051	Ly6a2	75003226	75006977	15
ENSMUSG00000118327	Gm8697	59907301	59907543	18
ENSMUSG00000103647	Gm37707	38923835	38927153	1
ENSMUSG00000102447	Gm6621	38947026	38947797	1
ENSMUSG00000117701	Gm38695	59958503	59988534	18
ENSMUSG00000067604	Nms	38978230	38989357	1
ENSMUSG00000103488	Gm37997	14636031	14636297	19
ENSMUSG00000063586	Gm5513	14936913	14938130	19
ENSMUSG00000117940	Gm50235	59988194	59988524	18
ENSMUSG00000117999	Gm18217	60030626	60031166	18
ENSMUSG00000117995	Gm50348	15780422	15785017	19
ENSMUSG00000118538	Gm18218	60316283	60318968	18
ENSMUSG00000028944	Prkag2	25067742	25305640	5
ENSMUSG00000031590	Frg1	41850496	41870111	8
ENSMUSG00000024640	Psat1	15882042	15924701	19
ENSMUSG00000073555	Gm4951	60345152	60380892	18
ENSMUSG00000022582	Ly6g	75027089	75030975	15
ENSMUSG00000041673	Lrrc18	32713339	32737248	14
ENSMUSG00000085977	Gm5970	60353915	60355130	18
ENSMUSG00000068606	Gm4841	60401377	60406344	18
ENSMUSG00000101140	Gm28117	75065753	75069516	15
ENSMUSG00000061046	Haghl	25998817	26004647	17
ENSMUSG00000111548	Gm8162	31345339	31346003	9
ENSMUSG00000118361	Gm50237	60416592	60489251	18
ENSMUSG00000111468	5033425B01Rik	31349761	31351063	9
ENSMUSG00000090942	F830016B08Rik	60426452	60436088	18
ENSMUSG00000047728	Ly6g2	75088225	75094510	15
ENSMUSG00000111655	4930434F21Rik	31375202	31427105	9
ENSMUSG00000111853	Gm31408	31470905	31490930	9
ENSMUSG00000019861	Gopc	52211946	52258220	10
ENSMUSG00000118051	Gm8714	60494527	60495738	18
ENSMUSG00000110952	Gm18226	31479022	31479542	9
ENSMUSG00000054072	Iigp1	60509099	60525706	18
ENSMUSG00000111153	Gm18820	31555066	31555981	9
ENSMUSG00000110853	Gm47436	31588104	31589322	9
ENSMUSG00000026078	Pdcl3	39024689	39036319	1
ENSMUSG00000110778	Gm8171	31694280	31694999	9
ENSMUSG00000032033	Barx2	31757340	31824758	9
ENSMUSG00000098149	Gapdh-ps14	42061705	42062706	8
ENSMUSG00000068348	Gm10238	75107446	75110617	15
ENSMUSG00000073554	Gm6960	60559364	60560006	18
ENSMUSG00000094568	Smarce1-ps1	42110630	42111706	8
ENSMUSG00000063388	BC023105	60574837	60576052	18
ENSMUSG00000038059	Smim3	60607263	60635059	18
ENSMUSG00000102046	2810404M03Rik	42280304	42499239	8
ENSMUSG00000100462	Gm28115	75116995	75119206	15
ENSMUSG00000108069	Hspd1-ps1	42376557	42380167	8
ENSMUSG00000022583	Ly6f	75140270	75144084	15
ENSMUSG00000115104	Gm49029	32924815	32925220	14
ENSMUSG00000088240	Gm22915	93221720	93221855	5
ENSMUSG00000115523	Gm6340	32935117	32935349	14
ENSMUSG00000024603	Dctn4	60659257	60691838	18
ENSMUSG00000063506	Arhgap22	32935983	33091891	14
ENSMUSG00000095057	Zfp353-ps	42534497	42536146	8
ENSMUSG00000115026	Gm49041	39184002	39184545	6
ENSMUSG00000053038	Gm6180	42699948	42700445	8
ENSMUSG00000107365	Gm43479	39217048	39219475	6
ENSMUSG00000110813	Gm31497	31817289	31822494	9
ENSMUSG00000099467	Gm28116	75165799	75168948	15
ENSMUSG00000088756	Gm24903	44209046	44209171	15
ENSMUSG00000109987	Gm18414	43222471	43223164	8
ENSMUSG00000091639	Gm3756	31846742	31848096	9
ENSMUSG00000109627	Gm45590	43538624	43538885	8
ENSMUSG00000111771	Gm47465	31858314	31916756	9
ENSMUSG00000029924	Slc37a3	39311707	39354609	6
ENSMUSG00000031651	Triml1	43582844	43594523	8
ENSMUSG00000111166	Tpi-rs4	31859642	31860361	9
ENSMUSG00000028480	Glipr2	43957401	43979118	4
ENSMUSG00000103046	Gm37309	39031759	39033397	1
ENSMUSG00000101289	Gm3454	75183226	75186813	15
ENSMUSG00000104188	Gm37821	39087729	39096718	1
ENSMUSG00000110845	Gm47481	31955681	31956154	9
ENSMUSG00000103182	Gm37091	39120333	39122419	1
ENSMUSG00000098833	Mir6349	39225977	39226073	1
ENSMUSG00000026077	Npas2	39232812	39402317	1
ENSMUSG00000110840	Gm47496	31989577	31990061	9
ENSMUSG00000099414	Gm28113	75198349	75198577	15
ENSMUSG00000083580	Rpsa-ps3	22336292	22338196	11
ENSMUSG00000085856	Gm12050	22388821	22389775	11
ENSMUSG00000101075	Gm29517	75200089	75202204	15
ENSMUSG00000041444	Arhgap32	32027432	32179742	9
ENSMUSG00000085021	Gm12051	22433608	22441363	11
ENSMUSG00000049904	Tmem17	22462088	22469234	11
ENSMUSG00000100375	Gm28114	75220855	75223030	15
ENSMUSG00000102028	Gm3142	75244312	75249118	15
ENSMUSG00000109991	Gm6284	43611791	43616981	8
ENSMUSG00000090147	Gm3329	15920974	15921529	19
ENSMUSG00000041491	Cep78	15933137	15962353	19
ENSMUSG00000036632	Alg5	54642960	54658739	3
ENSMUSG00000070999	Ccin	43983483	43985423	4
ENSMUSG00000086256	Gm12052	22567408	22568487	11
ENSMUSG00000053168	9030619P08Rik	75299455	75303678	15
ENSMUSG00000091490	Triml2	43633578	43646918	8
ENSMUSG00000083008	Gm12053	22576375	22576664	11
ENSMUSG00000085979	Gm12055	22679897	22682986	11
ENSMUSG00000112550	Gm6627	52217368	52219753	10
ENSMUSG00000097704	Gm26741	52234863	52234949	10
ENSMUSG00000085803	Gm12056	22684038	22687937	11
ENSMUSG00000112317	Gm47580	52255292	52257322	10
ENSMUSG00000089800	Rps19-ps10	52260755	52261189	10
ENSMUSG00000028478	Clta	44004452	44032846	4
ENSMUSG00000084081	Gm12057	22708599	22710025	11
ENSMUSG00000038624	Nepn	52265068	52280721	10
ENSMUSG00000051650	B3gnt2	22709738	22810961	11
ENSMUSG00000083973	Gm13459	24564713	24565358	2
ENSMUSG00000093626	Ly6l	75321306	75323255	15
ENSMUSG00000116365	Gm34531	75346395	75348315	15
ENSMUSG00000116222	Gm34593	75370623	75372569	15
ENSMUSG00000116155	Gm34646	75389058	75391506	15
ENSMUSG00000022577	Ly6h	75423117	75439104	15
ENSMUSG00000082576	Gm12058	22736811	22737247	11
ENSMUSG00000098650	Commd1b	22784744	22932090	11
ENSMUSG00000109974	Gm2221	43653005	43653422	8
ENSMUSG00000023068	Nus1	52293643	52316279	10
ENSMUSG00000092455	Gm20456	22789299	22792604	11
ENSMUSG00000051176	Zfp42	43748100	43760017	8
ENSMUSG00000092626	9130230N09Rik	22808931	22811264	11
ENSMUSG00000119279	AC168073.28	59254267	59254345	7
ENSMUSG00000036893	Ehmt1	24679940	24809626	2
ENSMUSG00000051355	Commd1	22846136	22932382	11
ENSMUSG00000115597	Gm49030	32940001	32942888	14
ENSMUSG00000087639	Gm15512	33087908	33092100	14
ENSMUSG00000021936	Mapk8	33099855	33169115	14
ENSMUSG00000097557	C130060C02Rik	15962442	15988060	19
ENSMUSG00000027796	Smad9	54663003	54708678	3
ENSMUSG00000117711	Rpl37-ps1	16002815	16003081	19
ENSMUSG00000063900	Adam26b	43972799	43981143	8
ENSMUSG00000024639	Gnaq	16110195	16364827	19
ENSMUSG00000048516	Adam26a	44021315	44029744	8
ENSMUSG00000065543	Mir330	18915390	18915487	7
ENSMUSG00000044317	Gpr4	18946463	18958099	7
ENSMUSG00000098329	Mir6966	25999782	25999853	17
ENSMUSG00000071202	Ccdc78	26005554	26009487	17
ENSMUSG00000092553	Gm20428	39315364	39315646	1
ENSMUSG00000112563	Gm47608	52326465	52328611	10
ENSMUSG00000112361	Gm47607	52327505	52329687	10
ENSMUSG00000092563	Gm3617	39353980	39354534	1
ENSMUSG00000044068	Zrsr1	22922005	22926496	11
ENSMUSG00000112464	Gm47609	52390495	52390873	10
ENSMUSG00000111887	Gm47610	52394389	52394578	10
ENSMUSG00000050190	Adam34l	44077988	44080313	8
ENSMUSG00000112149	Gm47611	52399118	52402955	10
ENSMUSG00000052214	Opa3	18962259	18990468	7
ENSMUSG00000112791	Gm47612	52404615	52405119	10
ENSMUSG00000073702	Rpl31	39406923	39410992	1
ENSMUSG00000079058	Adam34	44103346	44163086	8
ENSMUSG00000049576	Zfa-ps	52418416	52421835	10
ENSMUSG00000007739	Cct4	22940519	22953780	11
ENSMUSG00000112552	Gm36065	52470108	52476769	10
ENSMUSG00000119318	CT572989.1	30203164	30203270	9
ENSMUSG00000002007	Srpk3	72818011	72822531	X
ENSMUSG00000021540	Smad5	56850823	56890190	13
ENSMUSG00000038602	Slc35f1	52566629	52987718	10
ENSMUSG00000109723	Gm5347	44126758	44129084	8
ENSMUSG00000110155	Gm35629	44152295	44154535	8
ENSMUSG00000036615	Rfxap	54710536	54715212	3
ENSMUSG00000110168	Gm45488	44156516	44207200	8
ENSMUSG00000024604	Rbm22	60693808	60705882	18
ENSMUSG00000110224	Gm6011	44175306	44177101	8
ENSMUSG00000110036	Gm6303	44182516	44182986	8
ENSMUSG00000110347	Gm45657	44202089	44203437	8
ENSMUSG00000109826	Gm45658	44257881	44258460	8
ENSMUSG00000089066	Gm22836	82321467	82321527	9
ENSMUSG00000109993	Gm45659	44361693	44367641	8
ENSMUSG00000030403	Vasp	18990854	19005742	7
ENSMUSG00000029923	Rab19	39358109	39367314	6
ENSMUSG00000109856	Gm19855	44501158	44501406	8
ENSMUSG00000069011	Gm10254	54717805	54718671	3
ENSMUSG00000102378	Gm37972	44680755	44681582	8
ENSMUSG00000057990	Gm53055	16141676	16142169	19
ENSMUSG00000088915	Gm22606	79178709	79178811	2
ENSMUSG00000057411	Antkmt	26009054	26011875	17
ENSMUSG00000075268	Gm10819	16244425	16244985	19
ENSMUSG00000056306	Sertm1	54804489	54823308	3
ENSMUSG00000110409	Gm9908	45387749	45388196	8
ENSMUSG00000111918	Gm47624	52569934	52573769	10
ENSMUSG00000112257	Gm47623	52677589	52677796	10
ENSMUSG00000112576	Gm47621	52700401	52702938	10
ENSMUSG00000119060	AC156995.1	16053263	16053461	5
ENSMUSG00000078528	Gm17068	16255161	16256140	19
ENSMUSG00000112681	Gm47622	52978639	52981049	10
ENSMUSG00000070047	Fat1	45388484	45505294	8
ENSMUSG00000112376	Gm40649	53057276	53096559	10
ENSMUSG00000022579	Gpihbp1	75468477	75471330	15
ENSMUSG00000112853	Gm47637	53079118	53080411	10
ENSMUSG00000029922	Mkrn1	39374738	39397396	6
ENSMUSG00000112835	Gm36173	53111283	53136832	10
ENSMUSG00000098718	Mir496b	16292256	16292368	19
ENSMUSG00000118142	Gm19312	16390858	16391654	19
ENSMUSG00000038594	Cep85l	53149539	53256043	10
ENSMUSG00000027793	Ccna1	54952890	54962922	3
ENSMUSG00000118033	Gm50362	16393190	16400193	19
ENSMUSG00000024697	Gna14	16413126	16588184	19
ENSMUSG00000114099	Gm48695	70160348	70162728	12
ENSMUSG00000090121	Abhd12b	70200916	70230661	12
ENSMUSG00000028479	Gne	44034075	44084177	4
ENSMUSG00000117699	Gm8222	16467886	16468428	19
ENSMUSG00000118023	Gm50363	16549524	16549832	19
ENSMUSG00000047003	Zfp41	75488528	75501676	15
ENSMUSG00000112709	Gm19395	53156377	53159782	10
ENSMUSG00000046230	Vps13a	16592730	16758297	19
ENSMUSG00000112239	Gm17823	53175233	53176238	10
ENSMUSG00000038583	Pln	53213763	53222083	10
ENSMUSG00000118135	Gm50367	26009474	26014633	17
ENSMUSG00000077392	Gm24337	5687677	5687802	4
ENSMUSG00000002274	Metrn	26012195	26016110	17
ENSMUSG00000065869	Gm24917	22818901	22819004	11
ENSMUSG00000119702	CT025614.1	109138272	109138411	13
ENSMUSG00000077161	Gm24117	62730662	62730797	4
ENSMUSG00000110086	Gm45623	56900184	56901640	13
ENSMUSG00000049173	Myoz3	60706822	60724860	18
ENSMUSG00000021541	Trpc7	56920926	57043806	13
ENSMUSG00000002010	Idh3g	72822569	72830503	X
ENSMUSG00000003134	Tbc1d8	39410573	39517836	1
ENSMUSG00000089636	1700058P15Rik	18992417	18993664	7
ENSMUSG00000021069	Pygl	70237585	70278262	12
ENSMUSG00000115969	Gm46519	75503818	75507759	15
ENSMUSG00000030402	Ppm1n	19010730	19013989	7
ENSMUSG00000106589	4931419H13Rik	54962663	54991423	3
ENSMUSG00000111382	Gm47536	32086234	32086464	9
ENSMUSG00000087802	Gm25979	11206233	11206370	10
ENSMUSG00000099034	2810039B14Rik	75513978	75525492	15
ENSMUSG00000098103	Gm27005	25545446	25546366	16
ENSMUSG00000112734	Gm47644	53213849	53221181	10
ENSMUSG00000090257	Gm4524	25775225	25779092	16
ENSMUSG00000111892	Gm47641	53255548	53257482	10
ENSMUSG00000043079	Synpo	60727045	60793214	18
ENSMUSG00000032034	Kcnj5	32226003	32255646	9
ENSMUSG00000038168	P3h2	25778038	25924534	16
ENSMUSG00000112132	Gm36229	53285978	53300368	10
ENSMUSG00000105977	Gm43555	54964768	54965077	3
ENSMUSG00000056219	Tmem229b-ps	53351060	53351565	10
ENSMUSG00000036580	Spg20	55019529	55044743	3
ENSMUSG00000112733	Gm40650	53364318	53390643	10
ENSMUSG00000112739	Gm20597	53374539	53395085	10
ENSMUSG00000112440	Gm47722	53405753	53406281	10
ENSMUSG00000049811	Fam161a	22957531	22980788	11
ENSMUSG00000068601	Gm10244	39396821	39398228	6
ENSMUSG00000058298	Mcm9	53412411	53506535	10
ENSMUSG00000000934	Top1mt	75528884	75550649	15
ENSMUSG00000111056	Gm39317	32259978	32273034	9
ENSMUSG00000038456	Dennd2a	39439312	39534801	6
ENSMUSG00000030401	Rtn2	19016549	19030085	7
ENSMUSG00000041248	Kcnj1	32283789	32310493	9
ENSMUSG00000025738	Fbxl16	26028059	26040229	17
ENSMUSG00000016087	Fli1	32333500	32454157	9
ENSMUSG00000097491	Gm2366	45470253	45475422	8
ENSMUSG00000087314	Prkag2os2	25078542	25080932	5
ENSMUSG00000066158	AY512931	45513739	45518455	8
ENSMUSG00000086446	Prkag2os1	25107567	25111848	5
ENSMUSG00000064763	Gm23515	66120247	66120353	8
ENSMUSG00000085665	Gm12059	23017998	23025574	11
ENSMUSG00000054764	Mtnr1a	45522174	45541543	8
ENSMUSG00000054008	Ndst1	60817566	60881722	18
ENSMUSG00000025737	Wdr24	26042601	26047704	17
ENSMUSG00000086366	1700061J23Rik	23102140	23116375	11
ENSMUSG00000077200	Gm25613	39985458	39985586	10
ENSMUSG00000059631	1500035N22Rik	25190840	25203166	5
ENSMUSG00000090203	AU015336	25850560	25860018	16
ENSMUSG00000115248	Gm49037	33150599	33150982	14
ENSMUSG00000115745	Gm46448	33154090	33154897	14
ENSMUSG00000022512	Cldn1	26175392	26190591	16
ENSMUSG00000108841	Frmpd2	33193653	33297226	14
ENSMUSG00000020290	Xpo1	23206041	23248249	11
ENSMUSG00000110260	Gm30504	45563518	45649578	8
ENSMUSG00000043833	2900005J15Rik	25305981	25315107	5
ENSMUSG00000110231	Gm6329	45613531	45618256	8
ENSMUSG00000105763	Gm19088	25331133	25331698	5
ENSMUSG00000085298	F730035M05Rik	70274615	70280939	12
ENSMUSG00000119658	AC102570.1	10080039	10080142	1
ENSMUSG00000028938	Galntl5	25386458	25425295	5
ENSMUSG00000031645	F11	45694211	45715068	8
ENSMUSG00000021071	Trim9	70291307	70394388	12
ENSMUSG00000064613	Gm24621	129352144	129352283	4
ENSMUSG00000114363	Gm48174	57387660	57388068	13
ENSMUSG00000114411	Gm48176	57424491	57424941	13
ENSMUSG00000038148	Cldn16	26281885	26301515	16
ENSMUSG00000056222	Spock1	57569008	58056146	13
ENSMUSG00000021940	Ptpn20	33311164	33362711	14
ENSMUSG00000025736	Jmjd8	26047841	26050817	17
ENSMUSG00000085523	Gm15945	75533256	75535378	15
ENSMUSG00000118825	AL627238.1	108324141	108324247	4
ENSMUSG00000103151	Gm38292	32388629	32391673	9
ENSMUSG00000022580	Rhpn1	75576129	75587334	15
ENSMUSG00000102352	Gm38346	32419041	32421679	9
ENSMUSG00000002014	Ssr4	72830634	72834436	X
ENSMUSG00000098645	Gm27201	32419709	32428254	9
ENSMUSG00000102153	Gm37474	32436441	32438254	9
ENSMUSG00000112530	Gm47738	53445765	53447678	10
ENSMUSG00000048655	Ccdc169	55044760	55080356	3
ENSMUSG00000112731	Gm47739	53446721	53451852	10
ENSMUSG00000112634	Gm47737	53468913	53469220	10
ENSMUSG00000102850	Gm37082	32446547	32448473	9
ENSMUSG00000097266	Gm26802	19032185	19034695	7
ENSMUSG00000019857	Asf1a	53472853	53485321	10
ENSMUSG00000110844	Gm47680	32524748	32540853	9
ENSMUSG00000098796	Gm27163	32540421	32540829	9
ENSMUSG00000003545	Fosb	19036621	19043976	7
ENSMUSG00000087326	Gm12503	44092632	44109311	4
ENSMUSG00000024608	Rps14	60880170	60911618	18
ENSMUSG00000032035	Ets1	32547517	32669116	9
ENSMUSG00000084274	Ptma-ps2	44121893	44124123	4
ENSMUSG00000091972	Tmem207	26322406	26345519	16
ENSMUSG00000035696	Rnf38	44126210	44233789	4
ENSMUSG00000014164	Klhl3	58148042	58261406	13
ENSMUSG00000112332	4930466K18Rik	53490465	53491370	10
ENSMUSG00000022514	Il1rap	26400454	26548867	16
ENSMUSG00000019856	Fam184a	53509241	53627219	10
ENSMUSG00000038072	Galnt11	25426902	25470916	5
ENSMUSG00000102607	Gm37265	39458129	39459013	1
ENSMUSG00000119387	AC169674.26	59095251	59095329	7
ENSMUSG00000119603	AC221015.34	59365807	59365900	7
ENSMUSG00000003135	Cnot11	39574073	39585970	1
ENSMUSG00000108854	D830036C21Rik	19054042	19076440	7
ENSMUSG00000109764	Klkb1	45719726	45747896	8
ENSMUSG00000109366	Gm44698	19067054	19071580	7
ENSMUSG00000115134	Gm49108	33526223	33528998	14
ENSMUSG00000115751	4930503F20Rik	33530032	33533240	14
ENSMUSG00000080779	Gm8731	60912055	60912466	18
ENSMUSG00000003549	Ercc1	19078703	19090449	7
ENSMUSG00000024610	Cd74	60936920	60945724	18
ENSMUSG00000021943	Gdf10	33645544	33659940	14
ENSMUSG00000085058	8030453O22Rik	39504447	39521420	6
ENSMUSG00000002006	Pdzd4	72836965	72868575	X
ENSMUSG00000077962	Mir874	58170939	58171014	13
ENSMUSG00000007836	Hnrnpa0	58273693	58276370	13
ENSMUSG00000046947	Adck2	39550807	39565703	6
ENSMUSG00000072625	Gdf2	33662996	33669155	14
ENSMUSG00000097717	1700066J03Rik	58294763	58297506	13
ENSMUSG00000027794	Sohlh2	55089449	55117378	3
ENSMUSG00000041534	Rbp3	33675960	33686173	14
ENSMUSG00000114309	Gm48295	58302955	58305389	13
ENSMUSG00000039615	Stub1	26049479	26052378	17
ENSMUSG00000085894	Gm15832	39586651	39591083	1
ENSMUSG00000050002	Idnk	58305463	58312507	13
ENSMUSG00000077397	Gm24341	33681367	33681491	4
ENSMUSG00000056342	Usp34	23256895	23440560	11
ENSMUSG00000048234	Rnf149	39590377	39616486	1
ENSMUSG00000031640	Gm45753	45722708	45761503	8
ENSMUSG00000044519	Zfp488	33689027	33700721	14
ENSMUSG00000112809	Gm47915	53674120	53679625	10
ENSMUSG00000085669	Gm14817	72838821	72841222	X
ENSMUSG00000003746	Man1a	53780881	53952705	10
ENSMUSG00000031391	L1cam	72897384	72939711	X
ENSMUSG00000079057	Cyp4v3	45757981	45786253	8
ENSMUSG00000086582	Gm16272	39561026	39569718	6
ENSMUSG00000115726	Gm30083	33710374	33737139	14
ENSMUSG00000047591	Mafa	75617339	75620077	15
ENSMUSG00000107071	Gm42420	39562687	39573529	6
ENSMUSG00000075600	Zc3h3	75626279	75713764	15
ENSMUSG00000002416	Ndufb2	39569508	39580316	6
ENSMUSG00000072624	Gm5460	33738715	33770150	14
ENSMUSG00000054116	E130116L18Rik	25427846	25428151	5
ENSMUSG00000038056	Kmt2c	25476796	25703781	5
ENSMUSG00000093076	Mir3082	26050339	26050402	17
ENSMUSG00000025735	Rhbdl1	26053439	26056269	17
ENSMUSG00000027797	Dclk1	55149785	55446489	3
ENSMUSG00000005312	Ubqln1	58323970	58363467	13
ENSMUSG00000098843	Gm27240	32620948	32622467	9
ENSMUSG00000099148	Gm3331	32725030	32745400	9
ENSMUSG00000102467	Gm37167	32750823	32751218	9
ENSMUSG00000099025	Gm27162	32816233	32840262	9
ENSMUSG00000002413	Braf	39580171	39702397	6
ENSMUSG00000093327	Mir5107	60945148	60945235	18
ENSMUSG00000024613	Tcof1	60946827	60982043	18
ENSMUSG00000047649	Cd3eap	19089939	19093408	7
ENSMUSG00000102184	Gm37192	32882333	32883680	9
ENSMUSG00000098519	Gm27166	32943087	33002095	9
ENSMUSG00000095493	A630023A22Rik	33773083	33824711	14
ENSMUSG00000111645	Gm32171	33062588	33173812	9
ENSMUSG00000102712	Gm37758	33071358	33071986	9
ENSMUSG00000111467	Gm47775	33207540	33220099	9
ENSMUSG00000087871	Gm26101	91721823	91721927	9
ENSMUSG00000111878	Gm47777	33393479	33403310	9
ENSMUSG00000102471	Gm5100	39636585	39637173	1
ENSMUSG00000111276	Gm47778	33508661	33511764	9
ENSMUSG00000050967	Creg2	39657574	39690642	1
ENSMUSG00000079884	Gm10698	33639543	33640146	9
ENSMUSG00000111265	Gm47784	33772499	33775315	9
ENSMUSG00000110771	Gm47785	33813213	33832745	9
ENSMUSG00000047441	Antxrl	33774664	33798362	14
ENSMUSG00000099256	Gm27165	33842940	33843171	9
ENSMUSG00000040734	Ppp1r13l	19093674	19112458	7
ENSMUSG00000098358	Gm27164	33853606	33918469	9
ENSMUSG00000098758	7630403G23Rik	33953665	33970315	9
ENSMUSG00000092545	Gm20319	26533196	26574252	16
ENSMUSG00000098909	Gm27161	34111524	34112085	9
ENSMUSG00000070044	Fam149a	45789754	45835328	8
ENSMUSG00000077204	Gm25610	12063624	12063752	12
ENSMUSG00000098203	Gm9568	75726668	75728077	15
ENSMUSG00000110925	Gm47858	34370477	34388352	9
ENSMUSG00000022575	Gsdmd	75734176	75739257	15
ENSMUSG00000068428	Gmnc	26732303	26810402	16
ENSMUSG00000097083	D930019O06Rik	39689344	39696550	1
ENSMUSG00000032036	Kirrel3	34397190	34948012	9
ENSMUSG00000057173	Rfx8	39704461	39760157	1
ENSMUSG00000112824	Gm47917	53939907	53941165	10
ENSMUSG00000092677	Mir5106	44221195	44221267	4
ENSMUSG00000097069	Gm16998	53952018	53957177	10
ENSMUSG00000035683	Melk	44300876	44364675	4
ENSMUSG00000112013	Gm47967	54087830	54088919	10
ENSMUSG00000112516	Gm47968	54088967	54092819	10
